iter	Passed	Remaining
0	1	131
1	1	95
2	2	83
3	3	77
4	3	73
5	4	70
6	5	67
7	5	65
8	6	63
9	6	62
10	7	60
11	8	59
12	8	58
13	9	57
14	9	56
15	10	55
16	11	54
17	11	53
18	12	52
19	12	51
20	13	51
21	14	50
22	14	49
23	15	48
24	15	47
25	16	46
26	17	46
27	17	45
28	18	44
29	18	44
30	19	43
31	20	42
32	20	41
33	21	41
34	21	40
35	22	40
36	23	39
37	23	38
38	24	38
39	25	37
40	25	36
41	26	36
42	26	35
43	27	35
44	28	34
45	28	33
46	29	33
47	29	32
48	30	31
49	31	31
50	31	30
51	32	29
52	32	29
53	33	28
54	34	27
55	34	27
56	35	26
57	35	25
58	36	25
59	36	24
60	37	23
61	37	23
62	38	22
63	39	21
64	39	21
65	40	20
66	40	20
67	41	19
68	41	18
69	42	18
70	43	17
71	43	17
72	44	16
73	45	15
74	45	15
75	46	14
76	46	13
77	47	13
78	47	12
79	48	12
80	49	11
81	49	10
82	50	10
83	50	9
84	51	9
85	52	8
86	52	7
87	53	7
88	53	6
89	54	6
90	55	5
91	55	4
92	56	4
93	56	3
94	57	3
95	58	2
96	58	1
97	59	1
98	59	0
99	60	0
